ID,Country,Description
64424510369,Poland,"Poland, Producer Prices, Industry, Chg Y/Y"
64425673598,Poland,"Poland, Test, PLN"
64424953940,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Per capita, Current Prices, PLN"
64740222156,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Individual, Constant Prices, SA, Index, CPPY=100"
64970954146,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Public, Constant Prices, SA, Index, CPPY=100"
64888099570,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 A-T, Total, Current Prices, PLN"
66756119419,Poland,"Poland, Expenditure Approach, Exports, Goods and Services, Total, Current Prices, PLN"
65340456323,Poland,"Poland, Expenditure Approach, Imports, Goods and Services, Total, Current Prices, PLN"
67665850452,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Public, Total, Current Prices, PLN"
64451217763,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Current Prices, PLN"
67206976249,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Constant Prices, PLN, Average prices of previous year"
68052010083,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Private, Individual, Current Prices, PLN"
67630861162,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Constant Prices, SA, Index, CPPY=100"
67466520824,Poland,"Poland, Expenditure Approach, Exports, Total, Constant Prices, SA, Index, CPPY=100"
64577591434,Poland,"Poland, Expenditure Approach, Imports, Total, Constant Prices, SA, Index, CPPY=100"
67981927019,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Constant Prices, SA, Index, CPPY=100"
67785073316,Poland,"Poland, Production Approach, Value Added, NACE Rev.2 A-T, Gross, Constant Prices, SA, Index, CPPY=100"
66749731518,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Total, Current Prices, PLN"
64424510361,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Constant Prices, Index, CPPY=100"
66251525324,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Private, Individual, Constant Prices, Index, CPPY=100"
67332348757,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Total, Constant Prices, Index, CPPY=100"
68064310054,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Overall, Total, annual average prices of previous year, Constant Prices, PLN, Average prices of previous year"
65772023485,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Private, Individual, Constant Prices, PLN, Average prices of previous year"
66121888342,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, General Government, Total, previous year prices, Constant Prices, PLN, Average prices of previous year"
68171144253,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Changes in Inventories, Total, Constant Prices, PLN, Average prices of previous year"
68558064483,Poland,"Poland, Expenditure Approach, Exports, Goods and Services, Total, annual average prices of previous year, Constant Prices, PLN, Average prices of previous year"
66316453772,Poland,"Poland, Expenditure Approach, Imports, Goods and Services, Total, annual average prices of previous year, Constant Prices, PLN, Average prices of previous year"
67516026676,Poland,"Poland, Expenditure Approach, Exports, Goods and Services, Total, Constant Prices, Index, CPPY=100"
68051746240,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Public, Total, Constant Prices, Index, CPPY=100"
66125093415,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Overall, Total, Constant Prices, Index, CPPY=100"
67652330499,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Overall, Total, Constant Prices, Index, CPPY=100"
65672732932,Poland,"Poland, Expenditure Approach, Imports, Goods and Services, Total, Constant Prices, Index, CPPY=100"
66231218435,Poland,"Poland, Expenditure Approach, Total Uses, Domestic, Constant Prices, Index, CPPY=100"
66067899943,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Total, Constant Prices, PLN, Average prices of previous year"
64424569933,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 B-E, Industry, Constant Prices, SA, Index, CPPY=100"
64424569934,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 F, Construction, Constant Prices, SA, Index, CPPY=100"
64870180637,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Total, Volume, Index, PY=100"
67441262006,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Individual, Volume, Index, PY=100"
64549935134,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Total, Volume, Index, PY=100"
66608746691,Poland,"Poland, Expenditure Approach, Total Uses, Domestic, Volume, Index, PY=100"
64729734766,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Volume, Index, PY=100"
64578052711,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Volume, Index, PY=100"
64424569935,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 G, Trade & repair of motor vehicles, Constant Prices, SA, Index, CPPY=100"
64424569936,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 H, Transportation and storage, Constant Prices, SA, Index, CPPY=100"
64424569937,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 I, Accomodation and catering, Constant Prices, SA, Index, CPPY=100"
64424569938,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 J, Information and communication, Constant Prices, SA, Index, CPPY=100"
64424569939,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 K, Financial & insurance activity, Constant Prices, SA, Index, CPPY=100"
64424569940,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 L, Real estate activities, Constant Prices, SA, Index, CPPY=100"
64424569941,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 M_N, Professional scientific, technical, administrative & support service activities, Constant Prices, SA, Index, CPPY=100"
64424569942,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 O-Q, Public adm., defence, Education, Health & Social activities, Constant Prices, SA, Index, CPPY=100"
64425429418,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Public, Volume, Index, PY=100"
64425429419,Poland,"Poland, Expenditure Approach, Exports, Goods and Services, Total, Volume, Index, PY=100"
64425429420,Poland,"Poland, Expenditure Approach, Imports, Goods and Services, Total, Volume, Index, PY=100"
65229671681,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Impact scale on real GDP growth, Constant Prices, Average prices of previous year"
64990604548,Poland,"Poland, Expenditure Approach, Total Uses, Domestic, Impact scale on real GDP growth, Constant Prices, Average prices of previous year"
65436856040,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Overall, Impact scale on real GDP growth, Constant Prices, Average prices of previous year"
66967686415,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Individuals, Impact scale on real growth of GDP, Constant Prices, Average prices of previous year"
68418200866,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Overall, Impact scale on real growth of GDP, Constant Prices, Average prices of previous year"
65181915769,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Fixed, Impact scale on real growth of GDP, Constant Prices, Average prices of previous year"
68108520514,Poland,"Poland, Expenditure Approach, Trade Balance, Impact scale on real growth of GDP, Constant Prices, Average prices of previous year"
64988744841,Poland,"Poland, Production Approach, Value Added, Gross, Impact scale on real growth of GDP, Constant Prices, Average prices of previous year"
64424569953,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 B-E, Industry, Current Prices, PLN"
64424569954,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 F, Construction, Current Prices, PLN"
64424569955,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 G, Trade & repair of motor vehicles, Current Prices, PLN"
64424569956,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 H, Transportation and storage, Current Prices, PLN"
64424569957,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 I, Accomodation and catering, Current Prices, PLN"
64424569958,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 J, Information and communication, Current Prices, PLN"
64424569959,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 K, Financial and insurance activity, Current Prices, PLN"
64424569960,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 L, Real estate activities, Current Prices, PLN"
64424569961,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 M_N, Professional scientific, technical, administrative & support service activities, Current Prices, PLN"
64424569962,Poland,"Poland, Production Approach, Value Added, Economic Activity, NACE Rev.2 O-Q, Public adnministration, defense, education, health & social activities, Current Prices, PLN"
66710859913,Poland,"Poland, Expenditure Approach, Gross Capital Formation, Overall, Total, Current Prices, PLN"
66695808593,Poland,"Poland, Expenditure Approach, Final Consumption Expenditure, Overall, Total, Current Prices, PLN"
64715459582,Poland,"Poland, Expenditure Approach, Gross Domestic Product, Total, Constant Prices, SA, Index, PP=100"
65715517365,Poland,"Poland, Production, Passenger cars"
66584946918,Poland,"Poland, Production, Public transport vehicles"
68305441748,Poland,"Poland, Production, Lorries & road tractors for semi-trailers"
64424510363,Poland,"Poland, Production, NACE Rev.2 B-E, Total, Constant Prices, Index, 2015=100"
64808578101,Poland,"Poland, Production, NACE Rev.2 B-E, Total, Chg Y/Y"
65451274226,Poland,"Poland, Production, NACE Rev.2 B, Mining and quarrying, Constant Prices, Index, 2015=100"
67951140406,Poland,"Poland, Production, NACE Rev.2 D, Electricity, gas, steam, hot water, Constant Prices, Index, 2015=100"
65354950479,Poland,"Poland, Production, NACE Rev.2 C, Manufacturing, Constant Prices, Index, 2015=100"
67804114873,Poland,"Poland, Production, Processing of leather and manuf of leather prod, Constant Prices, Index, 2015=100"
68173061838,Poland,"Poland, Production, Wood, straw & wicker products, Constant Prices, Index, 2015=100"
64474925148,Poland,"Poland, Production, Coke & refined petroleum products, Constant Prices, Index, 2015=100"
66913038790,Poland,"Poland, Production, NACE Rev.2 F, Construction, Constant Prices, Index, 2015=100"
65985570240,Poland,"Poland, Production, Other non-metallic mineral products, Constant Prices, Index, 2015=100"
66925125296,Poland,"Poland, Production, Waste collection, treatment and disposal activities, materials recovery, Constant Prices, Index, 2015=100"
65872080704,Poland,"Poland, Production, Intermediate goods, Constant Prices, Index, CPPY=100"
66852884794,Poland,"Poland, Production, Capital goods, Constant Prices, Index, CPPY=100"
64573270560,Poland,"Poland, Production, Durable consumer goods, Constant Prices, Index, CPPY=100"
67288898769,Poland,"Poland, Production, Non-durable consumer goods, Constant Prices, Index, CPPY=100"
65158933818,Poland,"Poland, Production, Energy, Constant Prices, Index, CPPY=100"
68179243002,Poland,"Poland, Construction Activity, Sales, Total, PLN"
65304456626,Poland,"Poland, Dwelling Construction, Dwellings completed"
67362105169,Poland,"Poland, Dwellings under construction"
68504724352,Poland,"Poland, Building Permits, Issued for new residential buildings, Cumulative"
66036295810,Poland,"Poland, Building Permits, Number of new residential buildings, Cumulative"
68478887361,Poland,"Poland, Building Permits, Permits issued for new non-residential buildings, Cumulative"
64997652969,Poland,"Poland, Building Permits, Number of new non-residential buildings, Cumulative"
64602332760,Poland,"Poland, Financial Results of Organisations, Non-Financial Corporations, Revenues from total activity, Cumulative, PLN"
66482568847,Poland,"Poland, Business Surveys, Manufacturing Sector, Business climate index, SA"
64791357877,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, General economic situation, SA"
67828901780,Poland,"Poland, Business Surveys, Construction Sector, Business climate index, SA"
67843023963,Poland,"Poland, Business Surveys, Manufacturing Sector, Forecast, Domestic & foreign orders, SA"
