EconomicIndicatorId,ObsDate,Value
64424510369,1/1/1991,57.6
64424510369,2/1/1991,51.6
64424510369,3/1/1991,50.7
64424510369,4/1/1991,49.9
64424510369,5/1/1991,49.5
64424510369,6/1/1991,52.4
64424510369,7/1/1991,51.3
64424510369,8/1/1991,49.5
64424510369,9/1/1991,46
64424510369,10/1/1991,42.7
64424510369,11/1/1991,39.3
64424510369,12/1/1991,35.7
64424510369,1/1/1992,27.3
64424510369,2/1/1992,23
64424510369,3/1/1992,25.2
64424510369,4/1/1992,27.6
64424510369,5/1/1992,28.3
64424510369,6/1/1992,27.6
64424510369,7/1/1992,26.7
64424510369,8/1/1992,27.4
64424510369,9/1/1992,28
64424510369,10/1/1992,28.8
64424510369,11/1/1992,30
64424510369,12/1/1992,31.5
64424510369,1/1/1993,32.2
64424510369,2/1/1993,33.4
64424510369,3/1/1993,30
64424510369,4/1/1993,28.2
64424510369,5/1/1993,27.3
64424510369,6/1/1993,26.4
64424510369,7/1/1993,32.8
64424510369,8/1/1993,33.3
64424510369,9/1/1993,34.3
64424510369,10/1/1993,33.1
64424510369,11/1/1993,34.1
64424510369,12/1/1993,37
64424510369,1/1/1994,21.7
64424510369,2/1/1994,21.3
64424510369,3/1/1994,23
64424510369,4/1/1994,21.6
64424510369,5/1/1994,20.4
64424510369,6/1/1994,21
64424510369,7/1/1994,26
64424510369,8/1/1994,27.1
64424510369,9/1/1994,27.9
64424510369,10/1/1994,30.2
64424510369,11/1/1994,29.7
64424510369,12/1/1994,27.9
64424510369,1/1/1995,31.3
64424510369,2/1/1995,30
64424510369,3/1/1995,28.9
64424510369,4/1/1995,29.5
64424510369,5/1/1995,29.6
64424510369,6/1/1995,27.9
64424510369,7/1/1995,26.8
64424510369,8/1/1995,25.4
64424510369,9/1/1995,24.2
64424510369,10/1/1995,20.8
64424510369,11/1/1995,12.4
64424510369,12/1/1995,18.9
64424510369,1/1/1996,13.5
64424510369,2/1/1996,13.5
64424510369,3/1/1996,14.7
64424510369,4/1/1996,14.3
64424510369,5/1/1996,13.9
64424510369,6/1/1996,13.2
64424510369,7/1/1996,11.4
64424510369,8/1/1996,11.2
64424510369,9/1/1996,10
64424510369,10/1/1996,10.4
64424510369,11/1/1996,9.9
64424510369,12/1/1996,10.5
64424510369,1/1/1997,12.9
64424510369,2/1/1997,11.9
64424510369,3/1/1997,11.8
64424510369,4/1/1997,12
64424510369,5/1/1997,12.4
64424510369,6/1/1997,12.2
64424510369,7/1/1997,12
64424510369,8/1/1997,12.5
64424510369,9/1/1997,13
64424510369,10/1/1997,12.1
64424510369,11/1/1997,12.1
64424510369,12/1/1997,11.5
64424510369,1/1/1998,8.7
64424510369,2/1/1998,9.1
64424510369,3/1/1998,9.2
64424510369,4/1/1998,8.4
64424510369,5/1/1998,8.2
64424510369,6/1/1998,7.8
64424510369,7/1/1998,7
64424510369,8/1/1998,6.6
64424510369,9/1/1998,6.4
64424510369,10/1/1998,5.8
64424510369,11/1/1998,5.1
64424510369,12/1/1998,4.8
64424510369,1/1/1999,3.9
64424510369,2/1/1999,3.7
64424510369,3/1/1999,4.7
64424510369,4/1/1999,5
64424510369,5/1/1999,5.2
64424510369,6/1/1999,5.2
64424510369,7/1/1999,5.5
64424510369,8/1/1999,5.9
64424510369,9/1/1999,6.2
64424510369,10/1/1999,6.8
64424510369,11/1/1999,7.5
64424510369,12/1/1999,8.1
64424510369,1/1/2000,8.2
64424510369,2/1/2000,8.1
64424510369,3/1/2000,7.3
64424510369,4/1/2000,7.4
64424510369,5/1/2000,7.9
64424510369,6/1/2000,8.9
64424510369,7/1/2000,9
64424510369,8/1/2000,8.4
64424510369,9/1/2000,8.3
64424510369,10/1/2000,8
64424510369,11/1/2000,7.2
64424510369,12/1/2000,5.6
64424510369,1/1/2001,4.7
64424510369,2/1/2001,4.1
64424510369,3/1/2001,3.8
64424510369,4/1/2001,3.4
64424510369,5/1/2001,2.3
64424510369,6/1/2001,0.9
64424510369,7/1/2001,0.6
64424510369,8/1/2001,1
64424510369,9/1/2001,0.7
64424510369,10/1/2001,-0.5
64424510369,11/1/2001,-1
